date;temperature;pluie;majsite;succesAPI
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:45:04 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:50:04 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:51:55 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:53:41 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:55:04 CEST;yes
2026-07-02 08:00:00 CEST;19.4;0;2026-07-02 08:59:08 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:15:05 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:20:05 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:25:05 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:30:05 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:35:05 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:40:05 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:45:05 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:50:04 CEST;yes
2026-07-02 09:00:00 CEST;21.0;0;2026-07-02 09:55:04 CEST;yes
2026-07-02 10:00:00 CEST;23.4;0;2026-07-02 10:15:04 CEST;yes
2026-07-02 10:00:00 CEST;23.4;0;2026-07-02 10:20:05 CEST;yes
2026-07-02 10:00:00 CEST;23.4;0;2026-07-02 10:25:05 CEST;yes
2026-07-02 10:00:00 CEST;23.4;0;2026-07-02 10:30:05 CEST;yes
2026-07-02 10:00:00 CEST;23.4;0;2026-07-02 10:35:04 CEST;yes
2026-07-02 10:00:00 CEST;23.4;0;2026-07-02 10:40:05 CEST;yes
2026-07-02 10:00:00 CEST;23.4;0;2026-07-02 10:46:52 CEST;yes
2026-07-02 10:00:00 CEST;23.4;0;2026-07-02 10:58:51 CEST;yes
2026-07-02 11:00:00 CEST;26.7;0;2026-07-02 11:14:22 CEST;yes
2026-07-02 11:00:00 CEST;26.7;0;2026-07-02 11:15:04 CEST;yes
2026-07-02 11:00:00 CEST;26.7;0;2026-07-02 11:15:57 CEST;yes
2026-07-02 11:00:00 CEST;26.7;0;2026-07-02 11:20:07 CEST;yes
2026-07-02 11:00:00 CEST;26.7;0;2026-07-02 11:33:14 CEST;yes
2026-07-02 11:00:00 CEST;26.7;0;2026-07-02 11:50:05 CEST;yes
2026-07-02 12:00:00 CEST;27.5;0;2026-07-02 12:25:06 CEST;yes
2026-07-02 12:00:00 CEST;27.5;0;2026-07-02 12:30:05 CEST;yes
2026-07-02 12:00:00 CEST;27.5;0;2026-07-02 12:35:04 CEST;yes
2026-07-02 12:00:00 CEST;27.5;0;2026-07-02 12:40:05 CEST;yes
2026-07-02 12:00:00 CEST;27.5;0;2026-07-02 12:45:05 CEST;yes
2026-07-02 12:00:00 CEST;27.5;0;2026-07-02 12:50:05 CEST;yes
2026-07-02 12:00:00 CEST;27.5;0;2026-07-02 12:55:05 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:15:04 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:20:05 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:25:05 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:30:04 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:35:04 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:40:05 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:45:05 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:50:05 CEST;yes
2026-07-02 13:00:00 CEST;28.3;0;2026-07-02 13:55:04 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:14:40 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:15:04 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:20:05 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:25:05 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:30:05 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:35:04 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:40:05 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:45:03 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:50:04 CEST;yes
2026-07-02 14:00:00 CEST;29.5;0;2026-07-02 14:55:04 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:15:04 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:20:05 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:21:33 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:25:05 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:30:04 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:35:05 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:40:05 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:45:04 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:50:04 CEST;yes
2026-07-02 15:00:00 CEST;30.0;0;2026-07-02 15:55:04 CEST;yes
2026-07-02 16:00:00 CEST;29.5;0;2026-07-02 16:15:05 CEST;yes
2026-07-02 16:00:00 CEST;29.5;0;2026-07-02 16:20:05 CEST;yes
2026-07-02 16:00:00 CEST;29.5;0;2026-07-02 16:25:05 CEST;yes
2026-07-02 16:00:00 CEST;29.5;0;2026-07-02 16:30:06 CEST;yes
2026-07-02 16:00:00 CEST;29.5;0;2026-07-02 16:35:06 CEST;yes
2026-07-02 16:00:00 CEST;29.5;0;2026-07-02 16:40:06 CEST;yes
2026-07-02 16:00:00 CEST;29.5;0;2026-07-02 16:45:06 CEST;yes
2026-07-02 16:00:00 CEST;29.5;0;2026-07-02 16:50:05 CEST;yes
2026-07-02 16:00:00 CEST;29.5;0;2026-07-02 16:55:05 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:15:06 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:20:05 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:25:04 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:26:49 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:28:46 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:30:05 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:32:19 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:35:05 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:40:05 CEST;yes
2026-07-02 17:00:00 CEST;29.1;0;2026-07-02 17:45:05 CEST;yes
2026-07-02 19:00:00 CEST;28.3;0;2026-07-02 19:50:33 CEST;yes
2026-07-02 20:00:00 CEST;26.8;0;2026-07-02 20:45:03 CEST;yes
2026-07-02 20:00:00 CEST;26.8;0;2026-07-02 20:50:03 CEST;yes
2026-07-02 20:00:00 CEST;26.8;0;2026-07-02 20:55:02 CEST;yes
2026-07-02 21:00:00 CEST;26.7;0;2026-07-02 21:15:07 CEST;yes
2026-07-02 21:00:00 CEST;26.7;0;2026-07-02 21:20:05 CEST;yes
2026-07-02 21:00:00 CEST;26.7;0;2026-07-02 21:25:05 CEST;yes
2026-07-02 21:00:00 CEST;26.7;0;2026-07-02 21:30:04 CEST;yes
2026-07-02 21:00:00 CEST;26.7;0;2026-07-02 21:35:04 CEST;yes
2026-07-02 21:00:00 CEST;26.7;0;2026-07-02 21:40:05 CEST;yes
2026-07-02 21:00:00 CEST;26.7;0;2026-07-02 21:45:04 CEST;yes
2026-07-02 21:00:00 CEST;26.7;0;2026-07-02 21:50:04 CEST;yes
2026-07-02 21:00:00 CEST;26.7;0;2026-07-02 21:55:04 CEST;yes
2026-07-02 22:00:00 CEST;25.5;0;2026-07-02 22:15:05 CEST;yes
2026-07-02 22:00:00 CEST;25.5;0;2026-07-02 22:20:05 CEST;yes
2026-07-02 22:00:00 CEST;25.5;0;2026-07-02 22:25:05 CEST;yes
2026-07-02 22:00:00 CEST;25.5;0;2026-07-02 22:30:05 CEST;yes
2026-07-02 22:00:00 CEST;25.5;0;2026-07-02 22:35:05 CEST;yes
2026-07-02 22:00:00 CEST;25.5;0;2026-07-02 22:40:04 CEST;yes
2026-07-02 22:00:00 CEST;25.5;0;2026-07-02 22:45:05 CEST;yes
2026-07-02 22:00:00 CEST;25.5;0;2026-07-02 22:50:05 CEST;yes
2026-07-02 22:00:00 CEST;25.5;0;2026-07-02 22:55:04 CEST;yes
2026-07-02 23:00:00 CEST;24.3;0;2026-07-02 23:15:05 CEST;yes
2026-07-02 23:00:00 CEST;24.3;0;2026-07-02 23:20:04 CEST;yes
2026-07-02 23:00:00 CEST;24.3;0;2026-07-02 23:25:04 CEST;yes
2026-07-02 23:00:00 CEST;24.3;0;2026-07-02 23:30:04 CEST;yes
2026-07-02 23:00:00 CEST;24.3;0;2026-07-02 23:35:04 CEST;yes
2026-07-02 23:00:00 CEST;24.3;0;2026-07-02 23:40:04 CEST;yes
2026-07-02 23:00:00 CEST;24.3;0;2026-07-02 23:45:05 CEST;yes
2026-07-02 23:00:00 CEST;24.3;0;2026-07-02 23:50:05 CEST;yes
2026-07-02 23:00:00 CEST;24.3;0;2026-07-02 23:55:04 CEST;yes
2026-07-03 00:00:00 CEST;23.0;0;2026-07-03 00:15:04 CEST;yes
2026-07-03 00:00:00 CEST;23.0;0;2026-07-03 00:20:04 CEST;yes
2026-07-03 00:00:00 CEST;23.0;0;2026-07-03 00:25:04 CEST;yes
2026-07-03 00:00:00 CEST;23.0;0;2026-07-03 00:30:05 CEST;yes
2026-07-03 00:00:00 CEST;23.0;0;2026-07-03 00:35:05 CEST;yes
2026-07-03 00:00:00 CEST;23.0;0;2026-07-03 00:40:05 CEST;yes
2026-07-03 00:00:00 CEST;23.0;0;2026-07-03 00:45:04 CEST;yes
2026-07-03 00:00:00 CEST;23.0;0;2026-07-03 00:50:05 CEST;yes
2026-07-03 00:00:00 CEST;23.0;0;2026-07-03 00:55:05 CEST;yes
2026-07-03 01:00:00 CEST;21.8;0;2026-07-03 01:15:05 CEST;yes
2026-07-03 01:00:00 CEST;21.8;0;2026-07-03 01:20:04 CEST;yes
2026-07-03 01:00:00 CEST;21.8;0;2026-07-03 01:25:04 CEST;yes
2026-07-03 01:00:00 CEST;21.8;0;2026-07-03 01:30:04 CEST;yes
2026-07-03 01:00:00 CEST;21.8;0;2026-07-03 01:35:05 CEST;yes
2026-07-03 01:00:00 CEST;21.8;0;2026-07-03 01:40:05 CEST;yes
2026-07-03 01:00:00 CEST;21.8;0;2026-07-03 01:45:04 CEST;yes
2026-07-03 01:00:00 CEST;21.8;0;2026-07-03 01:50:04 CEST;yes
2026-07-03 01:00:00 CEST;21.8;0;2026-07-03 01:55:04 CEST;yes
2026-07-03 02:00:00 CEST;21.6;0;2026-07-03 02:15:04 CEST;yes
2026-07-03 02:00:00 CEST;21.6;0;2026-07-03 02:20:04 CEST;yes
2026-07-03 02:00:00 CEST;21.6;0;2026-07-03 02:25:05 CEST;yes
2026-07-03 02:00:00 CEST;21.6;0;2026-07-03 02:30:05 CEST;yes
2026-07-03 02:00:00 CEST;21.6;0;2026-07-03 02:35:05 CEST;yes
2026-07-03 02:00:00 CEST;21.6;0;2026-07-03 02:40:04 CEST;yes
2026-07-03 02:00:00 CEST;21.6;0;2026-07-03 02:45:04 CEST;yes
2026-07-03 02:00:00 CEST;21.6;0;2026-07-03 02:50:05 CEST;yes
2026-07-03 02:00:00 CEST;21.6;0;2026-07-03 02:55:05 CEST;yes
2026-07-03 03:00:00 CEST;21.0;0;2026-07-03 03:15:05 CEST;yes
2026-07-03 03:00:00 CEST;21.0;0;2026-07-03 03:20:04 CEST;yes
2026-07-03 03:00:00 CEST;21.0;0;2026-07-03 03:25:04 CEST;yes
2026-07-03 03:00:00 CEST;21.0;0;2026-07-03 03:30:04 CEST;yes
2026-07-03 03:00:00 CEST;21.0;0;2026-07-03 03:35:04 CEST;yes
2026-07-03 03:00:00 CEST;21.0;0;2026-07-03 03:40:05 CEST;yes
2026-07-03 03:00:00 CEST;21.0;0;2026-07-03 03:45:04 CEST;yes
2026-07-03 03:00:00 CEST;21.0;0;2026-07-03 03:50:04 CEST;yes
2026-07-03 03:00:00 CEST;21.0;0;2026-07-03 03:55:04 CEST;yes
2026-07-03 04:00:00 CEST;20.1;0;2026-07-03 04:15:05 CEST;yes
2026-07-03 04:00:00 CEST;20.1;0;2026-07-03 04:20:05 CEST;yes
2026-07-03 04:00:00 CEST;20.1;0;2026-07-03 04:25:04 CEST;yes
2026-07-03 04:00:00 CEST;20.1;0;2026-07-03 04:30:04 CEST;yes
2026-07-03 04:00:00 CEST;20.1;0;2026-07-03 04:35:05 CEST;yes
2026-07-03 04:00:00 CEST;20.1;0;2026-07-03 04:40:04 CEST;yes
2026-07-03 04:00:00 CEST;20.1;0;2026-07-03 04:45:05 CEST;yes
2026-07-03 04:00:00 CEST;20.1;0;2026-07-03 04:50:05 CEST;yes
2026-07-03 04:00:00 CEST;20.1;0;2026-07-03 04:55:04 CEST;yes
2026-07-03 05:00:00 CEST;19.3;0;2026-07-03 05:15:05 CEST;yes
2026-07-03 05:00:00 CEST;19.3;0;2026-07-03 05:20:04 CEST;yes
2026-07-03 05:00:00 CEST;19.3;0;2026-07-03 05:25:04 CEST;yes
2026-07-03 05:00:00 CEST;19.3;0;2026-07-03 05:30:04 CEST;yes
2026-07-03 05:00:00 CEST;19.3;0;2026-07-03 05:35:05 CEST;yes
2026-07-03 05:00:00 CEST;19.3;0;2026-07-03 05:40:05 CEST;yes
2026-07-03 05:00:00 CEST;19.3;0;2026-07-03 05:45:04 CEST;yes
2026-07-03 05:00:00 CEST;19.3;0;2026-07-03 05:50:04 CEST;yes
2026-07-03 05:00:00 CEST;19.3;0;2026-07-03 05:55:04 CEST;yes
2026-07-03 06:00:00 CEST;18.7;0;2026-07-03 06:15:05 CEST;yes
2026-07-03 06:00:00 CEST;18.7;0;2026-07-03 06:20:04 CEST;yes
2026-07-03 06:00:00 CEST;18.7;0;2026-07-03 06:25:04 CEST;yes
2026-07-03 06:00:00 CEST;18.7;0;2026-07-03 06:30:05 CEST;yes
2026-07-03 06:00:00 CEST;18.7;0;2026-07-03 06:35:05 CEST;yes
2026-07-03 06:00:00 CEST;18.7;0;2026-07-03 06:40:05 CEST;yes
2026-07-03 06:00:00 CEST;18.7;0;2026-07-03 06:45:04 CEST;yes
2026-07-03 06:00:00 CEST;18.7;0;2026-07-03 06:50:04 CEST;yes
2026-07-03 06:00:00 CEST;18.7;0;2026-07-03 06:55:04 CEST;yes
2026-07-03 07:00:00 CEST;18.6;0;2026-07-03 07:15:05 CEST;yes
2026-07-03 07:00:00 CEST;18.6;0;2026-07-03 07:20:04 CEST;yes
2026-07-03 07:00:00 CEST;18.6;0;2026-07-03 07:25:04 CEST;yes
2026-07-03 07:00:00 CEST;18.6;0;2026-07-03 07:30:04 CEST;yes
2026-07-03 07:00:00 CEST;18.6;0;2026-07-03 07:35:03 CEST;yes
2026-07-03 07:00:00 CEST;18.6;0;2026-07-03 07:40:04 CEST;yes
2026-07-03 07:00:00 CEST;18.6;0;2026-07-03 07:45:05 CEST;yes
2026-07-03 07:00:00 CEST;18.6;0;2026-07-03 07:50:05 CEST;yes
2026-07-03 07:00:00 CEST;18.6;0;2026-07-03 07:55:04 CEST;yes
2026-07-03 08:00:00 CEST;19.4;0;2026-07-03 08:40:05 CEST;yes
2026-07-03 08:00:00 CEST;19.4;0;2026-07-03 08:45:04 CEST;yes
2026-07-03 08:00:00 CEST;19.4;0;2026-07-03 08:50:04 CEST;yes
2026-07-03 08:00:00 CEST;19.4;0;2026-07-03 08:55:04 CEST;yes
2026-07-03 09:00:00 CEST;20.0;0;2026-07-03 09:15:04 CEST;yes
2026-07-03 09:00:00 CEST;20.0;0;2026-07-03 09:20:04 CEST;yes
2026-07-03 09:00:00 CEST;20.0;0;2026-07-03 09:25:04 CEST;yes
